companyID,movieID,companyname
559,4476,TriStar Pictures
1656,4476,Pangaea
33,11008,Universal Pictures
8,47504,Fine Line Features
12,47504,New Line Cinema
285,47504,Live Entertainment
181,32325,Channel Four Films
2832,32325,Cineville
3268,32325,Home Box Office (HBO)
36836,32325,Showcase Entertaiment Inc.
6194,43742,Warner Bros.
4,28313,Paramount Pictures
181,11318,Channel Four Films
798,11318,Samuel Goldwyn Company
23022,11318,Close Call Films
70,3036,American Zoetrope
559,3036,TriStar Pictures
2,40490,Walt Disney Pictures
559,24070,TriStar Pictures
4,8986,Paramount Pictures
862,8986,The Kennedy/Marshall Company
306,10510,Twentieth Century Fox Film Corporation
915,17402,Hollywood Pictures
70,38722,American Zoetrope
3906,38722,American Playhouse
20928,38722,Majestic Films International
89873,38722,Newcomb Productions
2428,8438,Wolper Organization
6194,8438,Warner Bros.
4,11593,Paramount Pictures
594,11593,Capella International
761,11593,Cinehaus
306,1945,Twentieth Century Fox Film Corporation
802,1945,Egg Pictures
1382,1945,PolyGram Filmed Entertainment
4319,39310,40 Acres & A Mule Filmworks
7260,109560,TOEI
42935,109560,Distant Justice Joint Venture
11139,56428,Metrodome Films
7954,63105,Filmwerks
21437,63105,Imperial Entertainment
23098,131957,Triumph Films
508,241,Regency Enterprises
644,241,Alcor Films
4198,241,Ixtlan
6194,241,Warner Bros.
10104,241,New Regency Pictures
68551,241,J D Productions
559,9058,TriStar Pictures
293,527,Avalon Studios
294,527,New Zealand Film Commission
295,527,New Zealand On Air
12,18220,New Line Cinema
17067,18220,CineTel Pictures
17068,18220,MG Entertainment
824,6950,Kopelson Entertainment
2154,6950,Punch Productions
6194,6950,Warner Bros.
16775,6950,Arnold Kopelson Productions
5,101,Columbia Pictures
9,101,Gaumont
28205,63020,"Samuel Goldwyn Company, The"
915,2307,Hollywood Pictures
14,680,Miramax Films
59,680,A Band Apart
216,680,Jersey Films
31080,41478,Polygram Filmed Entertainment
31715,41478,Gramercy Pictures (I)
37580,41478,MVP Films
5528,25296,Ang Lee Productions
288,40156,BBC Films
1382,40156,PolyGram Filmed Entertainment
53009,40156,Miramax
316,11450,Wildwood Enterprises
915,11450,Hollywood Pictures
11407,11450,Baltimore Pictures
84839,30304,Cecile Company
84840,30304,Thousand Cranes Filmworks
82,10452,Renn Productions
850,10452,Eurimages
5358,10452,Canal+
6187,10452,ARD/Degeto Film GmbH
6541,10452,D.A. Films
7089,10452,France2 Cinéma
8923,10452,WMG Film
18367,10452,Centre National de la Cinématographie (CNC)
18495,10452,N.E.F. Filmproduktion und Vertriebs GmbH
53009,10452,Miramax
75913,10452,RCS Films & TV
559,12106,TriStar Pictures
915,161495,Hollywood Pictures
